question_text,subject,cognitive_level_bloom,readability_score,word_count,sentence_count,time_taken_minutes,total_students_attempted,correct_attempts,incorrect_attempts,correct_percentage,learning_gap_score,discrimination_index,difficulty_label,assessment_quality_score
Solve the quadratic equation scenario number 1.,Mathematics,create,77.49,22,1,23,202,47,155,0.234,0.771,0.73,hard,0.481
Implement binary search for scenario number 2.,Computer Science,understand,45.01,17,2,23,101,85,16,0.844,0.203,0.5,easy,0.663
Apply Newton law to system scenario number 3.,Physics,create,89.84,36,1,14,188,35,153,0.187,0.843,0.57,hard,0.373
Evaluate matrix determinant for scenario number 4.,Mathematics,remember,44.38,17,1,21,234,171,63,0.734,0.269,0.974,easy,0.853
Solve the quadratic equation scenario number 5.,Mathematics,understand,54.48,23,2,23,229,191,38,0.837,0.185,0.561,easy,0.695
Apply Newton law to system scenario number 6.,Physics,evaluate,79.9,28,1,6,149,124,25,0.833,0.183,0.76,easy,0.793
Determine stress on beam under scenario number 7.,Engineering Aptitude,analyze,63.2,32,2,14,261,135,126,0.519,0.528,0.864,medium,0.682
Analyze time complexity of scenario number 8.,Computer Science,understand,44.9,35,1,20,210,181,29,0.866,0.152,0.64,easy,0.749
Evaluate logical reasoning pattern in scenario number 9.,Engineering Aptitude,apply,63.14,29,1,3,188,130,58,0.696,0.343,0.599,medium,0.64
Calculate electric field for scenario number 10.,Physics,apply,55.08,31,3,5,132,76,56,0.582,0.465,0.826,medium,0.695
Solve the quadratic equation scenario number 11.,Mathematics,analyze,68.72,26,2,3,147,75,72,0.511,0.522,0.833,medium,0.665
Compute definite integral of scenario number 12.,Mathematics,apply,63.87,49,1,5,200,138,62,0.692,0.351,0.861,medium,0.768
Analyze time complexity of scenario number 13.,Computer Science,create,74.72,41,1,17,114,15,99,0.133,0.889,0.601,hard,0.363
Calculate efficiency of machine with scenario number 14.,Engineering Aptitude,analyze,68.44,46,2,7,250,145,105,0.581,0.446,0.602,medium,0.586
Compute definite integral of scenario number 15.,Mathematics,create,88.86,36,2,12,144,27,117,0.189,0.817,0.728,hard,0.457
Implement binary search for scenario number 16.,Computer Science,create,74.37,25,2,9,289,38,251,0.133,0.878,0.714,hard,0.421
